Opstillingskreds;Afstemningsområde;Partibogstav;Partinavn;Navn;Stemmetal
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Partiliste;1101
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Mads Madsen Henriksen;72
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Trine Bramsen;105
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Bjørn Brandenborg;43
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Sara Emil Baaring;92
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Thomas Skriver Jensen;91
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Dan Jørgensen;107
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Lasse Haugaard Pedersen;31
Odense Østkredsen;1. Skt. Jørgens Hallen;A;Socialdemokratiet;Kim Aas;39
Odense Østkredsen;1. Skt. Jørgens Hallen;B;Radikale Venstre;Partiliste;284
Odense Østkredsen;1. Skt. Jørgens Hallen;B;Radikale Venstre;Kim Lei-Jensen;41
Odense Østkredsen;1. Skt. Jørgens Hallen;B;Radikale Venstre;Jan Werner Mathiasen;23
Odense Østkredsen;1. Skt. Jørgens Hallen;B;Radikale Venstre;Hanne Ringgaard Møller;46
Odense Østkredsen;1. Skt. Jørgens Hallen;B;Radikale Venstre;Rasmus Helveg Petersen;57
Odense Østkredsen;1. Skt. Jørgens Hallen;B;Radikale Venstre;Niels Grønlund;51
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Partiliste;229
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Mai Mercado;75
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Kristian Guldfeldt;64
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Anders Johansson;3
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Joachim Hoffmann-Petersen;43
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Roya Moore;13
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Anne Fiber;14
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Tobias Bennedsen;5
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;John Hoppe;9
Odense Østkredsen;1. Skt. Jørgens Hallen;C;Det Konservative Folkeparti;Emil Holbech Hansen;3
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Partiliste;142
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Mikkel Bjørn;13
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Nicolaj Holm Pedersen;6
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Rebecha Foged;3
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Jonas René Jensen;1
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Malte Jäger;11
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Melanie Jørgensen;6
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Henrik Tørnqvist Lauridsen;3
Odense Østkredsen;1. Skt. Jørgens Hallen;D;Nye Borgerlige;Lars Lillebæk;2
Odense Østkredsen;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Partiliste;573
Odense Østkredsen;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Karsten Hønge;141
Odense Østkredsen;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Lise Müller;147
Odense Østkredsen;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Katrine Wulff;44
Odense Østkredsen;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Nynne Printz;11
Odense Østkredsen;1. Skt. Jørgens Hallen;F;SF - Socialistisk Folkeparti;Jonas Hulgaard Ammundsen;50
Odense Østkredsen;1. Skt. Jørgens Hallen;I;Liberal Alliance;Partiliste;658
Odense Østkredsen;1. Skt. Jørgens Hallen;I;Liberal Alliance;Katrine Daugaard;92
Odense Østkredsen;1. Skt. Jørgens Hallen;I;Liberal Alliance;Anders Kirkeby;28
Odense Østkredsen;1. Skt. Jørgens Hallen;I;Liberal Alliance;Silke Anna Hein;6
Odense Østkredsen;1. Skt. Jørgens Hallen;I;Liberal Alliance;Christoffer Munk;8
Odense Østkredsen;1. Skt. Jørgens Hallen;I;Liberal Alliance;Sinus Kremmer;1
Odense Østkredsen;1. Skt. Jørgens Hallen;K;KD - Kristendemokraterne;Partiliste;16
Odense Østkredsen;1. Skt. Jørgens Hallen;K;KD - Kristendemokraterne;Michelle West;2
Odense Østkredsen;1. Skt. Jørgens Hallen;K;KD - Kristendemokraterne;Gert Dyrn;0
Odense Østkredsen;1. Skt. Jørgens Hallen;K;KD - Kristendemokraterne;Jenan Jamel Bozo;2
Odense Østkredsen;1. Skt. Jørgens Hallen;K;KD - Kristendemokraterne;Simon Lavdal;1
Odense Østkredsen;1. Skt. Jørgens Hallen;K;KD - Kristendemokraterne;Maria av Skardi;1
Odense Østkredsen;1. Skt. Jørgens Hallen;K;KD - Kristendemokraterne;Anders Friis Knudsen;1
Odense Østkredsen;1. Skt. Jørgens Hallen;K;KD - Kristendemokraterne;Niclas Aarestrup;2
Odense Østkredsen;1. Skt. Jørgens Hallen;K;KD - Kristendemokraterne;Torben Bundgaard;1
Odense Østkredsen;1. Skt. Jørgens Hallen;M;Moderaterne;Partiliste;725
Odense Østkredsen;1. Skt. Jørgens Hallen;M;Moderaterne;Rosa Eriksen;148
Odense Østkredsen;1. Skt. Jørgens Hallen;M;Moderaterne;Carsten Damgaard Møller;9
Odense Østkredsen;1. Skt. Jørgens Hallen;M;Moderaterne;Kenneth Bjerg Andersen;44
Odense Østkredsen;1. Skt. Jørgens Hallen;M;Moderaterne;H.C. Wulff;20
Odense Østkredsen;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Partiliste;63
Odense Østkredsen;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Signe Vedersø Keldorff;5
Odense Østkredsen;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Charlotte Møller-Madsen;1
Odense Østkredsen;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Dorthe Ullemose;0
Odense Østkredsen;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Frank Sørensen;0
Odense Østkredsen;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Alex Ahrendtsen;35
Odense Østkredsen;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Lars Kolling;3
Odense Østkredsen;1. Skt. Jørgens Hallen;O;Dansk Folkeparti;Cheanne Nielsen;1
Odense Østkredsen;1. Skt. Jørgens Hallen;Q;Frie Grønne;Partiliste;35
Odense Østkredsen;1. Skt. Jørgens Hallen;Q;Frie Grønne;Nishan Ganesh;19
Odense Østkredsen;1. Skt. Jørgens Hallen;Q;Frie Grønne;Nicholas Nyrop Vinthen;3
Odense Østkredsen;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Partiliste;486
Odense Østkredsen;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Thomas Kristoffersen;10
Odense Østkredsen;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Marlene Ambo-Rasmussen;87
Odense Østkredsen;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Erling Bonnesen;34
Odense Østkredsen;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Nikolaj Leed Henriksen;57
Odense Østkredsen;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Araz Khan;14
Odense Østkredsen;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Lars Chr. Lilleholt;77
Odense Østkredsen;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Pia Offer Madsen;19
Odense Østkredsen;1. Skt. Jørgens Hallen;V;Venstre, Danmarks Liberale Parti;Bo Sandberg;4
Odense Østkredsen;1. Skt. Jørgens Hallen;Æ;Danmarksdemokraterne;Partiliste;172
Odense Østkredsen;1. Skt. Jørgens Hallen;Æ;Danmarksdemokraterne;Martin Jason Adelgaard;5
Odense Østkredsen;1. Skt. Jørgens Hallen;Æ;Danmarksdemokraterne;Jens Henrik W. Thulesen Dahl;14
Odense Østkredsen;1. Skt. Jørgens Hallen;Æ;Danmarksdemokraterne;Vivian Lindberg Larsen;4
Odense Østkredsen;1. Skt. Jørgens Hallen;Æ;Danmarksdemokraterne;Bent Juul Sørensen;4
Odense Østkredsen;1. Skt. Jørgens Hallen;Æ;Danmarksdemokraterne;Nikolaj Vang;4
Odense Østkredsen;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Partiliste;462
Odense Østkredsen;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Reza Javid;44
Odense Østkredsen;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Victoria Velásquez;216
Odense Østkredsen;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Vibeke Syppli Enrum;5
Odense Østkredsen;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Torsten Ringgaard;7
Odense Østkredsen;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Camilla Dalum Jensen;16
Odense Østkredsen;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Victoria Bøgh Salo;22
Odense Østkredsen;1. Skt. Jørgens Hallen;Ø;Enhedslisten - De Rød-Grønne;Niels Bjarne Lund;0
Odense Østkredsen;1. Skt. Jørgens Hallen;Å;Alternativet;Partiliste;316
Odense Østkredsen;1. Skt. Jørgens Hallen;Å;Alternativet;Bodil Marie Helbo;9
Odense Østkredsen;1. Skt. Jørgens Hallen;Å;Alternativet;Martin Kjærulff;24
Odense Østkredsen;1. Skt. Jørgens Hallen;Å;Alternativet;Linda Frølund Hansen;6
Odense Østkredsen;1. Skt. Jørgens Hallen;Å;Alternativet;Simon Nyborg Jensen;23
Odense Østkredsen;1. Skt. Jørgens Hallen;Å;Alternativet;Anna Astrid Høy-Nielsen;16
Odense Østkredsen;1. Skt. Jørgens Hallen;Å;Alternativet;Ole Dupont Kofod;3
Odense Østkredsen;1. Skt. Jørgens Hallen;Å;Alternativet;Marianne Lassen;2
Odense Østkredsen;1. Skt. Jørgens Hallen;Å;Alternativet;Henrik Boye;8
Odense Østkredsen;1. Skt. Jørgens Hallen;Å;Alternativet;Mette Rahbek;8
Odense Østkredsen;1. Skt. Jørgens Hallen;Å;Alternativet;Kasper Krebs;3
Odense Østkredsen;1. Skt. Jørgens Hallen;(Uden for parti);(Uden for parti);Millah Kongsbach;8
Odense Østkredsen;2. Sct. Hans Skole;A;Socialdemokratiet;Partiliste;1390
Odense Østkredsen;2. Sct. Hans Skole;A;Socialdemokratiet;Mads Madsen Henriksen;120
Odense Østkredsen;2. Sct. Hans Skole;A;Socialdemokratiet;Trine Bramsen;162
Odense Østkredsen;2. Sct. Hans Skole;A;Socialdemokratiet;Bjørn Brandenborg;56
Odense Østkredsen;2. Sct. Hans Skole;A;Socialdemokratiet;Sara Emil Baaring;79
Odense Østkredsen;2. Sct. Hans Skole;A;Socialdemokratiet;Thomas Skriver Jensen;117
Odense Østkredsen;2. Sct. Hans Skole;A;Socialdemokratiet;Dan Jørgensen;173
Odense Østkredsen;2. Sct. Hans Skole;A;Socialdemokratiet;Lasse Haugaard Pedersen;19
Odense Østkredsen;2. Sct. Hans Skole;A;Socialdemokratiet;Kim Aas;24
Odense Østkredsen;2. Sct. Hans Skole;B;Radikale Venstre;Partiliste;163
Odense Østkredsen;2. Sct. Hans Skole;B;Radikale Venstre;Kim Lei-Jensen;27
Odense Østkredsen;2. Sct. Hans Skole;B;Radikale Venstre;Jan Werner Mathiasen;22
Odense Østkredsen;2. Sct. Hans Skole;B;Radikale Venstre;Hanne Ringgaard Møller;44
Odense Østkredsen;2. Sct. Hans Skole;B;Radikale Venstre;Rasmus Helveg Petersen;67
Odense Østkredsen;2. Sct. Hans Skole;B;Radikale Venstre;Niels Grønlund;17
Odense Østkredsen;2. Sct. Hans Skole;C;Det Konservative Folkeparti;Partiliste;130
Odense Østkredsen;2. Sct. Hans Skole;C;Det Konservative Folkeparti;Mai Mercado;66
Odense Østkredsen;2. Sct. Hans Skole;C;Det Konservative Folkeparti;Kristian Guldfeldt;48
Odense Østkredsen;2. Sct. Hans Skole;C;Det Konservative Folkeparti;Anders Johansson;4
Odense Østkredsen;2. Sct. Hans Skole;C;Det Konservative Folkeparti;Joachim Hoffmann-Petersen;13
Odense Østkredsen;2. Sct. Hans Skole;C;Det Konservative Folkeparti;Roya Moore;14
Odense Østkredsen;2. Sct. Hans Skole;C;Det Konservative Folkeparti;Anne Fiber;9
Odense Østkredsen;2. Sct. Hans Skole;C;Det Konservative Folkeparti;Tobias Bennedsen;1
Odense Østkredsen;2. Sct. Hans Skole;C;Det Konservative Folkeparti;John Hoppe;8
Odense Østkredsen;2. Sct. Hans Skole;C;Det Konservative Folkeparti;Emil Holbech Hansen;3
Odense Østkredsen;2. Sct. Hans Skole;D;Nye Borgerlige;Partiliste;104
Odense Østkredsen;2. Sct. Hans Skole;D;Nye Borgerlige;Mikkel Bjørn;14
Odense Østkredsen;2. Sct. Hans Skole;D;Nye Borgerlige;Nicolaj Holm Pedersen;5
Odense Østkredsen;2. Sct. Hans Skole;D;Nye Borgerlige;Rebecha Foged;1
Odense Østkredsen;2. Sct. Hans Skole;D;Nye Borgerlige;Jonas René Jensen;0
Odense Østkredsen;2. Sct. Hans Skole;D;Nye Borgerlige;Malte Jäger;6
Odense Østkredsen;2. Sct. Hans Skole;D;Nye Borgerlige;Melanie Jørgensen;3
Odense Østkredsen;2. Sct. Hans Skole;D;Nye Borgerlige;Henrik Tørnqvist Lauridsen;10
Odense Østkredsen;2. Sct. Hans Skole;D;Nye Borgerlige;Lars Lillebæk;5
Odense Østkredsen;2. Sct. Hans Skole;F;SF - Socialistisk Folkeparti;Partiliste;445
Odense Østkredsen;2. Sct. Hans Skole;F;SF - Socialistisk Folkeparti;Karsten Hønge;141
Odense Østkredsen;2. Sct. Hans Skole;F;SF - Socialistisk Folkeparti;Lise Müller;166
Odense Østkredsen;2. Sct. Hans Skole;F;SF - Socialistisk Folkeparti;Katrine Wulff;70
Odense Østkredsen;2. Sct. Hans Skole;F;SF - Socialistisk Folkeparti;Nynne Printz;8
Odense Østkredsen;2. Sct. Hans Skole;F;SF - Socialistisk Folkeparti;Jonas Hulgaard Ammundsen;24
Odense Østkredsen;2. Sct. Hans Skole;I;Liberal Alliance;Partiliste;398
Odense Østkredsen;2. Sct. Hans Skole;I;Liberal Alliance;Katrine Daugaard;64
Odense Østkredsen;2. Sct. Hans Skole;I;Liberal Alliance;Anders Kirkeby;21
Odense Østkredsen;2. Sct. Hans Skole;I;Liberal Alliance;Silke Anna Hein;5
Odense Østkredsen;2. Sct. Hans Skole;I;Liberal Alliance;Christoffer Munk;9
Odense Østkredsen;2. Sct. Hans Skole;I;Liberal Alliance;Sinus Kremmer;4
Odense Østkredsen;2. Sct. Hans Skole;K;KD - Kristendemokraterne;Partiliste;15
Odense Østkredsen;2. Sct. Hans Skole;K;KD - Kristendemokraterne;Michelle West;2
Odense Østkredsen;2. Sct. Hans Skole;K;KD - Kristendemokraterne;Gert Dyrn;0
Odense Østkredsen;2. Sct. Hans Skole;K;KD - Kristendemokraterne;Jenan Jamel Bozo;0
Odense Østkredsen;2. Sct. Hans Skole;K;KD - Kristendemokraterne;Simon Lavdal;5
Odense Østkredsen;2. Sct. Hans Skole;K;KD - Kristendemokraterne;Maria av Skardi;1
Odense Østkredsen;2. Sct. Hans Skole;K;KD - Kristendemokraterne;Anders Friis Knudsen;0
Odense Østkredsen;2. Sct. Hans Skole;K;KD - Kristendemokraterne;Niclas Aarestrup;3
Odense Østkredsen;2. Sct. Hans Skole;K;KD - Kristendemokraterne;Torben Bundgaard;0
Odense Østkredsen;2. Sct. Hans Skole;M;Moderaterne;Partiliste;539
Odense Østkredsen;2. Sct. Hans Skole;M;Moderaterne;Rosa Eriksen;96
Odense Østkredsen;2. Sct. Hans Skole;M;Moderaterne;Carsten Damgaard Møller;9
Odense Østkredsen;2. Sct. Hans Skole;M;Moderaterne;Kenneth Bjerg Andersen;24
Odense Østkredsen;2. Sct. Hans Skole;M;Moderaterne;H.C. Wulff;14
Odense Østkredsen;2. Sct. Hans Skole;O;Dansk Folkeparti;Partiliste;93
Odense Østkredsen;2. Sct. Hans Skole;O;Dansk Folkeparti;Signe Vedersø Keldorff;6
Odense Østkredsen;2. Sct. Hans Skole;O;Dansk Folkeparti;Charlotte Møller-Madsen;0
Odense Østkredsen;2. Sct. Hans Skole;O;Dansk Folkeparti;Dorthe Ullemose;4
Odense Østkredsen;2. Sct. Hans Skole;O;Dansk Folkeparti;Frank Sørensen;2
Odense Østkredsen;2. Sct. Hans Skole;O;Dansk Folkeparti;Alex Ahrendtsen;24
Odense Østkredsen;2. Sct. Hans Skole;O;Dansk Folkeparti;Lars Kolling;3
Odense Østkredsen;2. Sct. Hans Skole;O;Dansk Folkeparti;Cheanne Nielsen;2
Odense Østkredsen;2. Sct. Hans Skole;Q;Frie Grønne;Partiliste;55
Odense Østkredsen;2. Sct. Hans Skole;Q;Frie Grønne;Nishan Ganesh;27
Odense Østkredsen;2. Sct. Hans Skole;Q;Frie Grønne;Nicholas Nyrop Vinthen;1
Odense Østkredsen;2. Sct. Hans Skole;V;Venstre, Danmarks Liberale Parti;Partiliste;314
Odense Østkredsen;2. Sct. Hans Skole;V;Venstre, Danmarks Liberale Parti;Thomas Kristoffersen;4
Odense Østkredsen;2. Sct. Hans Skole;V;Venstre, Danmarks Liberale Parti;Marlene Ambo-Rasmussen;59
Odense Østkredsen;2. Sct. Hans Skole;V;Venstre, Danmarks Liberale Parti;Erling Bonnesen;23
Odense Østkredsen;2. Sct. Hans Skole;V;Venstre, Danmarks Liberale Parti;Nikolaj Leed Henriksen;29
Odense Østkredsen;2. Sct. Hans Skole;V;Venstre, Danmarks Liberale Parti;Araz Khan;11
Odense Østkredsen;2. Sct. Hans Skole;V;Venstre, Danmarks Liberale Parti;Lars Chr. Lilleholt;83
Odense Østkredsen;2. Sct. Hans Skole;V;Venstre, Danmarks Liberale Parti;Pia Offer Madsen;12
Odense Østkredsen;2. Sct. Hans Skole;V;Venstre, Danmarks Liberale Parti;Bo Sandberg;3
Odense Østkredsen;2. Sct. Hans Skole;Æ;Danmarksdemokraterne;Partiliste;204
Odense Østkredsen;2. Sct. Hans Skole;Æ;Danmarksdemokraterne;Martin Jason Adelgaard;5
Odense Østkredsen;2. Sct. Hans Skole;Æ;Danmarksdemokraterne;Jens Henrik W. Thulesen Dahl;23
Odense Østkredsen;2. Sct. Hans Skole;Æ;Danmarksdemokraterne;Vivian Lindberg Larsen;8
Odense Østkredsen;2. Sct. Hans Skole;Æ;Danmarksdemokraterne;Bent Juul Sørensen;2
Odense Østkredsen;2. Sct. Hans Skole;Æ;Danmarksdemokraterne;Nikolaj Vang;7
Odense Østkredsen;2. Sct. Hans Skole;Ø;Enhedslisten - De Rød-Grønne;Partiliste;283
Odense Østkredsen;2. Sct. Hans Skole;Ø;Enhedslisten - De Rød-Grønne;Reza Javid;22
Odense Østkredsen;2. Sct. Hans Skole;Ø;Enhedslisten - De Rød-Grønne;Victoria Velásquez;113
Odense Østkredsen;2. Sct. Hans Skole;Ø;Enhedslisten - De Rød-Grønne;Vibeke Syppli Enrum;6
Odense Østkredsen;2. Sct. Hans Skole;Ø;Enhedslisten - De Rød-Grønne;Torsten Ringgaard;2
Odense Østkredsen;2. Sct. Hans Skole;Ø;Enhedslisten - De Rød-Grønne;Camilla Dalum Jensen;11
Odense Østkredsen;2. Sct. Hans Skole;Ø;Enhedslisten - De Rød-Grønne;Victoria Bøgh Salo;9
Odense Østkredsen;2. Sct. Hans Skole;Ø;Enhedslisten - De Rød-Grønne;Niels Bjarne Lund;2
Odense Østkredsen;2. Sct. Hans Skole;Å;Alternativet;Partiliste;206
Odense Østkredsen;2. Sct. Hans Skole;Å;Alternativet;Bodil Marie Helbo;8
Odense Østkredsen;2. Sct. Hans Skole;Å;Alternativet;Martin Kjærulff;14
Odense Østkredsen;2. Sct. Hans Skole;Å;Alternativet;Linda Frølund Hansen;9
Odense Østkredsen;2. Sct. Hans Skole;Å;Alternativet;Simon Nyborg Jensen;9
Odense Østkredsen;2. Sct. Hans Skole;Å;Alternativet;Anna Astrid Høy-Nielsen;7
Odense Østkredsen;2. Sct. Hans Skole;Å;Alternativet;Ole Dupont Kofod;2
Odense Østkredsen;2. Sct. Hans Skole;Å;Alternativet;Marianne Lassen;1
Odense Østkredsen;2. Sct. Hans Skole;Å;Alternativet;Henrik Boye;2
Odense Østkredsen;2. Sct. Hans Skole;Å;Alternativet;Mette Rahbek;6
Odense Østkredsen;2. Sct. Hans Skole;Å;Alternativet;Kasper Krebs;1
Odense Østkredsen;2. Sct. Hans Skole;(Uden for parti);(Uden for parti);Millah Kongsbach;7
Odense Østkredsen;3. Risingskolen;A;Socialdemokratiet;Partiliste;443
Odense Østkredsen;3. Risingskolen;A;Socialdemokratiet;Mads Madsen Henriksen;32
Odense Østkredsen;3. Risingskolen;A;Socialdemokratiet;Trine Bramsen;69
Odense Østkredsen;3. Risingskolen;A;Socialdemokratiet;Bjørn Brandenborg;15
Odense Østkredsen;3. Risingskolen;A;Socialdemokratiet;Sara Emil Baaring;27
Odense Østkredsen;3. Risingskolen;A;Socialdemokratiet;Thomas Skriver Jensen;36
Odense Østkredsen;3. Risingskolen;A;Socialdemokratiet;Dan Jørgensen;52
Odense Østkredsen;3. Risingskolen;A;Socialdemokratiet;Lasse Haugaard Pedersen;9
Odense Østkredsen;3. Risingskolen;A;Socialdemokratiet;Kim Aas;12
Odense Østkredsen;3. Risingskolen;B;Radikale Venstre;Partiliste;56
Odense Østkredsen;3. Risingskolen;B;Radikale Venstre;Kim Lei-Jensen;8
Odense Østkredsen;3. Risingskolen;B;Radikale Venstre;Jan Werner Mathiasen;3
Odense Østkredsen;3. Risingskolen;B;Radikale Venstre;Hanne Ringgaard Møller;12
Odense Østkredsen;3. Risingskolen;B;Radikale Venstre;Rasmus Helveg Petersen;15
Odense Østkredsen;3. Risingskolen;B;Radikale Venstre;Niels Grønlund;10
Odense Østkredsen;3. Risingskolen;C;Det Konservative Folkeparti;Partiliste;41
Odense Østkredsen;3. Risingskolen;C;Det Konservative Folkeparti;Mai Mercado;11
Odense Østkredsen;3. Risingskolen;C;Det Konservative Folkeparti;Kristian Guldfeldt;9
Odense Østkredsen;3. Risingskolen;C;Det Konservative Folkeparti;Anders Johansson;2
Odense Østkredsen;3. Risingskolen;C;Det Konservative Folkeparti;Joachim Hoffmann-Petersen;6
Odense Østkredsen;3. Risingskolen;C;Det Konservative Folkeparti;Roya Moore;7
Odense Østkredsen;3. Risingskolen;C;Det Konservative Folkeparti;Anne Fiber;4
Odense Østkredsen;3. Risingskolen;C;Det Konservative Folkeparti;Tobias Bennedsen;0
Odense Østkredsen;3. Risingskolen;C;Det Konservative Folkeparti;John Hoppe;2
Odense Østkredsen;3. Risingskolen;C;Det Konservative Folkeparti;Emil Holbech Hansen;0
Odense Østkredsen;3. Risingskolen;D;Nye Borgerlige;Partiliste;31
Odense Østkredsen;3. Risingskolen;D;Nye Borgerlige;Mikkel Bjørn;2
Odense Østkredsen;3. Risingskolen;D;Nye Borgerlige;Nicolaj Holm Pedersen;2
Odense Østkredsen;3. Risingskolen;D;Nye Borgerlige;Rebecha Foged;2
Odense Østkredsen;3. Risingskolen;D;Nye Borgerlige;Jonas René Jensen;0
Odense Østkredsen;3. Risingskolen;D;Nye Borgerlige;Malte Jäger;2
Odense Østkredsen;3. Risingskolen;D;Nye Borgerlige;Melanie Jørgensen;3
Odense Østkredsen;3. Risingskolen;D;Nye Borgerlige;Henrik Tørnqvist Lauridsen;0
Odense Østkredsen;3. Risingskolen;D;Nye Borgerlige;Lars Lillebæk;0
Odense Østkredsen;3. Risingskolen;F;SF - Socialistisk Folkeparti;Partiliste;144
Odense Østkredsen;3. Risingskolen;F;SF - Socialistisk Folkeparti;Karsten Hønge;40
Odense Østkredsen;3. Risingskolen;F;SF - Socialistisk Folkeparti;Lise Müller;54
Odense Østkredsen;3. Risingskolen;F;SF - Socialistisk Folkeparti;Katrine Wulff;11
Odense Østkredsen;3. Risingskolen;F;SF - Socialistisk Folkeparti;Nynne Printz;3
Odense Østkredsen;3. Risingskolen;F;SF - Socialistisk Folkeparti;Jonas Hulgaard Ammundsen;7
Odense Østkredsen;3. Risingskolen;I;Liberal Alliance;Partiliste;135
Odense Østkredsen;3. Risingskolen;I;Liberal Alliance;Katrine Daugaard;19
Odense Østkredsen;3. Risingskolen;I;Liberal Alliance;Anders Kirkeby;5
Odense Østkredsen;3. Risingskolen;I;Liberal Alliance;Silke Anna Hein;2
Odense Østkredsen;3. Risingskolen;I;Liberal Alliance;Christoffer Munk;3
Odense Østkredsen;3. Risingskolen;I;Liberal Alliance;Sinus Kremmer;0
Odense Østkredsen;3. Risingskolen;K;KD - Kristendemokraterne;Partiliste;6
Odense Østkredsen;3. Risingskolen;K;KD - Kristendemokraterne;Michelle West;1
Odense Østkredsen;3. Risingskolen;K;KD - Kristendemokraterne;Gert Dyrn;0
Odense Østkredsen;3. Risingskolen;K;KD - Kristendemokraterne;Jenan Jamel Bozo;0
Odense Østkredsen;3. Risingskolen;K;KD - Kristendemokraterne;Simon Lavdal;0
Odense Østkredsen;3. Risingskolen;K;KD - Kristendemokraterne;Maria av Skardi;1
Odense Østkredsen;3. Risingskolen;K;KD - Kristendemokraterne;Anders Friis Knudsen;1
Odense Østkredsen;3. Risingskolen;K;KD - Kristendemokraterne;Niclas Aarestrup;0
Odense Østkredsen;3. Risingskolen;K;KD - Kristendemokraterne;Torben Bundgaard;0
Odense Østkredsen;3. Risingskolen;M;Moderaterne;Partiliste;151
Odense Østkredsen;3. Risingskolen;M;Moderaterne;Rosa Eriksen;34
Odense Østkredsen;3. Risingskolen;M;Moderaterne;Carsten Damgaard Møller;3
Odense Østkredsen;3. Risingskolen;M;Moderaterne;Kenneth Bjerg Andersen;10
Odense Østkredsen;3. Risingskolen;M;Moderaterne;H.C. Wulff;3
Odense Østkredsen;3. Risingskolen;O;Dansk Folkeparti;Partiliste;36
Odense Østkredsen;3. Risingskolen;O;Dansk Folkeparti;Signe Vedersø Keldorff;2
Odense Østkredsen;3. Risingskolen;O;Dansk Folkeparti;Charlotte Møller-Madsen;2
Odense Østkredsen;3. Risingskolen;O;Dansk Folkeparti;Dorthe Ullemose;0
Odense Østkredsen;3. Risingskolen;O;Dansk Folkeparti;Frank Sørensen;0
Odense Østkredsen;3. Risingskolen;O;Dansk Folkeparti;Alex Ahrendtsen;9
Odense Østkredsen;3. Risingskolen;O;Dansk Folkeparti;Lars Kolling;1
Odense Østkredsen;3. Risingskolen;O;Dansk Folkeparti;Cheanne Nielsen;1
Odense Østkredsen;3. Risingskolen;Q;Frie Grønne;Partiliste;52
Odense Østkredsen;3. Risingskolen;Q;Frie Grønne;Nishan Ganesh;36
Odense Østkredsen;3. Risingskolen;Q;Frie Grønne;Nicholas Nyrop Vinthen;1
